1,Wrapsafe,2004-03-13,18.8
2,Tin,2000-10-09,23.7
3,Flexidy,2009-02-11,14.7
4,Holdlamis,2007-06-02,14.0
5,Sonair,2011-05-09,8.6
6,Temp,2003-05-13,8.4
7,Holdlamis,2006-10-26,23.0
8,Andalax,2010-11-03,10.2
9,Flowdesk,2002-02-13,17.4
10,Viva,2013-02-11,13.2
11,Voltsillam,2015-02-24,1.5
12,Latlux,2015-01-14,4.2
13,Zamit,2001-12-09,17.4
14,Asoka,2001-08-20,11.8
15,Cardguard,2007-02-22,13.4
16,Bigtax,2000-06-12,14.1
17,Konklux,2002-11-06,7.9
18,Overhold,2008-02-17,8.7
19,Pannier,2012-09-27,14.9
20,Sonsing,2006-08-15,5.5
21,Kanlam,2001-03-06,7.3
22,Namfix,2009-01-13,15.6
23,It,2011-02-23,6.4
24,Y-Solowarm,2014-03-12,11.5
25,Home Ing,2001-01-21,3.5
26,Greenlam,2005-06-25,5.7
27,Konklux,2005-06-01,20.7
28,Opela,2004-01-12,2.7
29,Domainer,2008-07-26,15.7
30,Vagram,2008-09-29,18.3
31,Gembucket,2012-08-21,10.5
32,Zamit,2011-05-29,20.8
33,Kanlam,2005-09-21,22.8
34,Alphazap,2015-02-24,21.1
35,Zaam-Dox,2013-12-15,23.1
36,Transcof,2002-11-17,10.2
37,Namfix,2001-03-19,4.0
38,Bytecard,2000-11-12,7.7
39,Trippledex,2001-03-24,2.7
40,Zoolab,2012-06-15,25.0
41,Prodder,2011-04-17,22.2
42,Overhold,2003-06-30,6.6
43,Fintone,2012-03-26,4.4
44,Home Ing,2006-12-16,10.7
45,Sub-Ex,2010-04-28,8.7
46,Home Ing,2013-11-14,19.5
47,Ronstring,2009-06-11,2.9
48,Greenlam,2015-01-01,7.1
49,Ventosanzap,2006-09-04,1.5
50,Voyatouch,2010-12-16,15.0
51,Sonsing,2008-11-28,14.2
52,Tresom,2013-10-15,7.1
53,Keylex,2011-06-04,14.0
54,Fix San,2006-06-09,8.5
55,Treeflex,2011-04-17,16.4
56,Lotstring,2005-06-04,22.7
57,Sonair,2010-02-25,15.8
58,It,2008-08-19,21.3
59,Fix San,2012-07-13,5.1
60,Zoolab,2008-10-06,15.8
61,Ventosanzap,2011-03-06,16.9
62,Y-find,2003-08-15,13.8
63,It,2002-08-25,4.1
64,Fintone,2003-07-04,7.8
65,Bamity,2011-02-28,20.3
66,Stim,2012-08-25,7.2
67,Aerified,2004-04-10,3.0
68,Job,2000-05-13,10.2
69,Treeflex,2007-03-18,17.6
70,Tampflex,2014-11-05,21.5
71,Stronghold,2003-09-23,15.4
72,Hatity,2009-08-16,5.1
73,Opela,2010-10-17,13.1
74,Flowdesk,2011-02-14,11.0
75,Mat Lam Tam,2002-01-14,21.5
76,Sonair,2004-07-15,9.1
77,Matsoft,2003-03-30,2.0
78,Fintone,2002-10-19,6.2
79,Fintone,2012-08-20,11.4
80,Tampflex,2008-04-20,15.1
81,Aerified,2011-03-07,17.9
82,Asoka,2002-08-13,22.5
83,Zathin,2001-11-21,1.9
84,Wrapsafe,2006-11-25,10.0
85,Alphazap,2009-01-03,1.6
86,Stronghold,2000-08-16,1.6
87,Asoka,2009-09-22,1.0
88,Sub-Ex,2007-04-09,10.5
89,It,2008-10-31,17.9
90,Temp,2014-07-09,18.2
91,Asoka,2004-02-29,12.7
92,Opela,2014-07-22,7.0
93,Konklab,2001-02-05,24.9
94,Duobam,2011-12-04,15.5
95,Konklux,2006-02-08,9.4
96,Flowdesk,2005-03-23,3.4
97,Opela,2001-12-23,15.2
98,Zathin,2011-10-25,7.8
99,Stringtough,2000-09-26,2.2
100,Cookley,2012-09-13,3.9
101,Namfix,2012-06-09,20.7
102,Cardify,2008-03-04,7.5
103,Zamit,2006-05-31,19.7
104,Transcof,2005-11-30,16.4
105,Hatity,2015-01-22,21.5
106,Konklux,2001-10-16,24.3
107,Asoka,2008-07-22,1.8
108,Zaam-Dox,2001-12-21,11.0
109,Aerified,2015-06-21,8.4
110,Voyatouch,2012-02-16,18.9
111,Bigtax,2013-06-02,8.2
112,Tres-Zap,2010-09-19,20.7
113,Sub-Ex,2002-07-20,13.8
114,Solarbreeze,2009-02-09,7.2
115,Konklab,2009-08-18,17.1
116,Cookley,2008-02-12,1.7
117,Fixflex,2008-03-30,4.2
118,Otcom,2000-07-29,13.4
119,Hatity,2001-12-17,4.0
120,Temp,2000-01-26,10.2
121,Bamity,2004-07-23,7.4
122,Otcom,2005-12-05,11.8
123,Fix San,2001-09-16,24.2
124,Temp,2014-03-18,2.9
125,Treeflex,2004-04-27,7.0
126,Zontrax,2008-01-01,19.5
127,Cardguard,2006-03-20,21.9
128,Aerified,2012-04-25,19.3
129,Prodder,2009-06-11,23.7
130,Bigtax,2010-06-09,5.3
131,Overhold,2008-09-30,12.2
132,Prodder,2003-04-04,6.2
133,Stim,2012-05-27,20.5
134,Treeflex,2013-04-06,15.3
135,Sonsing,2005-11-21,4.1
136,Cardify,2000-05-24,10.2
137,Trippledex,2002-03-30,15.4
138,Fixflex,2000-08-30,21.2
139,Bamity,2015-09-09,3.3
140,Konklab,2013-01-10,6.4
141,Tres-Zap,2002-12-01,7.0
142,Lotstring,2002-08-09,2.4
143,Temp,2015-02-16,23.8
144,Tresom,2011-09-16,3.1
145,Konklab,2010-05-05,5.5
146,Asoka,2002-09-16,1.4
147,Y-find,2003-05-01,11.7
148,Konklux,2008-01-11,16.7
149,Lotlux,2003-11-26,23.4
150,Keylex,2014-03-13,10.3
151,Cardguard,2002-05-05,3.7
152,Biodex,2010-12-21,13.8
153,Sonsing,2006-01-19,4.8
154,Temp,2015-01-02,24.0
155,Lotstring,2004-07-14,2.2
156,Temp,2005-07-21,8.1
157,Lotstring,2010-12-05,5.6
158,Fix San,2000-02-16,3.4
159,Subin,2002-12-27,11.6
160,Sonair,2008-02-29,5.2
161,Subin,2002-04-03,18.3
162,Sub-Ex,2010-03-10,10.5
163,Holdlamis,2011-01-17,1.9
164,Subin,2012-02-09,3.0
165,Alphazap,2000-07-16,16.1
166,Bamity,2009-08-31,5.3
167,Gembucket,2013-10-20,1.1
168,Bytecard,2006-01-10,4.1
169,Andalax,2014-02-12,1.7
170,Rank,2001-01-07,23.1
171,Zathin,2006-04-14,11.7
172,Matsoft,2002-06-27,17.3
173,Domainer,2009-08-15,13.7
174,Stronghold,2000-11-14,11.8
175,Tres-Zap,2013-07-15,15.7
176,Konklab,2015-02-14,7.6
177,Alphazap,2015-04-29,9.8
178,Vagram,2009-02-21,23.8
179,Vagram,2002-04-18,21.4
180,Duobam,2002-06-04,21.2
181,Tres-Zap,2008-05-14,5.2
182,Vagram,2012-02-05,4.3
183,Konklux,2010-01-20,8.9
184,Subin,2014-05-24,19.7
185,Gembucket,2005-02-25,13.2
186,Fix San,2001-09-17,18.6
187,Job,2001-09-02,17.0
188,Veribet,2001-06-21,8.2
189,Zaam-Dox,2006-01-10,3.2
190,Cardify,2014-04-09,13.3
191,Aerified,2014-04-12,20.8
192,Mat Lam Tam,2005-09-12,15.6
193,Cardify,2003-11-27,22.0
194,Solarbreeze,2010-06-22,2.2
195,Greenlam,2008-04-29,18.8
196,Wrapsafe,2002-11-29,19.3
197,Otcom,2013-05-28,19.8
198,Fintone,2015-02-01,5.1
199,Fintone,2001-01-03,21.5
200,Subin,2003-03-19,15.9
201,Vagram,2011-03-20,12.0
202,Transcof,2013-03-28,13.2
203,Stringtough,2001-05-23,6.9
204,Regrant,2010-05-23,13.3
205,Zontrax,2000-03-26,1.6
206,Greenlam,2008-07-23,7.8
207,Quo Lux,2006-02-24,23.0
208,Biodex,2001-06-15,1.7
209,Konklux,2012-02-15,12.5
210,Viva,2003-08-05,10.1
211,Trippledex,2010-01-09,13.1
212,Transcof,2014-05-25,7.8
213,Fintone,2000-10-28,5.3
214,Redhold,2000-08-27,24.8
215,Tresom,2000-05-10,15.5
216,Job,2004-05-10,1.4
217,Bigtax,2005-10-25,16.6
218,Ronstring,2013-10-09,22.6
219,Bitchip,2013-04-22,17.3
220,Aerified,2015-04-20,6.6
221,Sonsing,2006-10-04,8.4
222,Zaam-Dox,2003-01-13,22.9
223,Duobam,2008-10-22,23.1
224,Zaam-Dox,2007-03-30,7.8
225,Voltsillam,2006-10-20,1.3
226,Tresom,2006-12-19,8.1
227,Y-find,2001-12-26,20.7
228,Duobam,2006-10-16,11.3
229,Span,2005-08-19,12.6
230,Bytecard,2013-09-05,23.5
231,Bitwolf,2015-06-04,18.1
232,Stim,2007-02-02,1.3
233,Fixflex,2013-10-27,20.6
234,Tin,2015-08-17,5.2
235,Zathin,2006-06-05,8.1
236,Fixflex,2010-11-08,5.3
237,Fixflex,2013-12-01,4.0
238,Wrapsafe,2013-06-16,4.0
239,Sonair,2004-01-07,14.6
240,Aerified,2006-03-19,9.6
241,Transcof,2013-09-04,21.9
242,Alphazap,2008-06-19,8.9
243,Namfix,2000-08-05,15.0
244,Overhold,2003-07-02,10.9
245,Subin,2005-10-06,9.1
246,Fixflex,2011-08-10,7.8
247,Y-Solowarm,2001-07-09,11.3
248,Rank,2009-03-26,24.9
249,Ventosanzap,2013-08-09,3.3
250,Zontrax,2001-02-19,3.1
251,Transcof,2001-01-01,6.9
252,Cardguard,2003-11-09,16.8
253,Temp,2007-01-23,11.4
254,Matsoft,2005-06-11,11.8
255,Trippledex,2004-12-11,22.0
256,Span,2000-11-16,21.3
257,Ventosanzap,2004-09-14,15.0
258,Rank,2002-04-06,24.7
259,Lotstring,2000-01-23,24.7
260,Cookley,2001-09-25,23.9
261,Wrapsafe,2014-11-02,12.3
262,It,2007-09-23,18.3
263,Zathin,2011-01-20,23.1
264,Zontrax,2007-01-21,19.1
265,Ventosanzap,2002-02-19,9.6
266,Lotstring,2010-08-16,13.7
267,Subin,2011-07-07,17.2
268,Otcom,2006-06-04,24.4
269,Bytecard,2003-11-09,6.5
270,Quo Lux,2000-03-17,5.7
271,Regrant,2000-08-02,22.1
272,Fixflex,2003-07-31,2.0
273,Temp,2012-11-10,1.9
274,Konklux,2013-07-03,5.0
275,Sonsing,2014-02-27,24.5
276,Lotstring,2011-12-10,3.0
277,Quo Lux,2001-06-22,22.9
278,Transcof,2007-08-22,24.9
279,Bytecard,2011-03-07,4.6
280,Tampflex,2004-08-25,20.3
281,Bitwolf,2008-09-02,15.3
282,Cardguard,2008-03-08,11.8
283,Fintone,2000-04-09,24.7
284,Treeflex,2000-07-20,12.1
285,Job,2010-05-03,6.5
286,Alpha,2010-08-29,22.5
287,Fintone,2012-12-24,4.0
288,Stringtough,2005-06-28,15.7
289,Zaam-Dox,2003-10-11,16.0
290,Ventosanzap,2015-09-02,15.2
291,Cardguard,2007-05-20,1.1
292,Voltsillam,2011-08-08,5.0
293,Lotlux,2010-02-26,16.0
294,Holdlamis,2004-12-03,15.3
295,Regrant,2004-04-16,4.9
296,Flexidy,2000-11-15,18.7
297,Trippledex,2000-04-13,1.9
298,Gembucket,2010-02-16,4.1
299,Viva,2000-04-22,23.5
300,Bamity,2005-02-27,5.3
301,Transcof,2012-05-15,5.7
302,Prodder,2002-01-19,14.0
303,Bitwolf,2008-03-02,23.4
304,Solarbreeze,2012-01-21,10.2
305,Lotlux,2008-10-19,10.7
306,Bytecard,2002-05-11,14.3
307,Keylex,2001-07-25,9.7
308,Trippledex,2003-04-03,17.0
309,Tampflex,2008-02-27,20.5
310,Y-Solowarm,2013-03-23,13.6
311,Alphazap,2006-03-06,8.6
312,Tempsoft,2015-05-28,2.1
313,Job,2008-12-15,16.6
314,Redhold,2008-07-09,12.7
315,Greenlam,2001-05-06,16.1
316,Tampflex,2015-02-15,22.0
317,Span,2000-05-30,6.1
318,Greenlam,2007-06-17,14.3
319,Tres-Zap,2014-01-05,19.1
320,Tampflex,2006-01-12,3.7
321,Wrapsafe,2007-05-14,23.7
322,Lotstring,2001-06-13,11.7
323,Tampflex,2014-11-05,5.8
324,Latlux,2011-06-10,10.3
325,Transcof,2009-07-07,11.7
326,Keylex,2007-05-04,19.3
327,Sonsing,2012-10-31,10.8
328,Tempsoft,2013-08-01,19.9
329,Bamity,2013-07-19,19.7
330,Andalax,2013-12-03,19.0
331,Subin,2000-01-29,18.2
332,Sub-Ex,2012-08-06,8.6
333,Sub-Ex,2003-01-24,19.7
334,Cookley,2012-03-30,16.6
335,Pannier,2004-09-16,15.9
336,Gembucket,2011-10-31,13.9
337,Otcom,2010-05-30,17.8
338,Stringtough,2011-09-18,12.2
339,Tempsoft,2006-01-06,24.3
340,Zoolab,2000-10-09,1.5
341,Duobam,2009-12-04,23.9
342,Bitwolf,2005-10-29,7.1
343,Greenlam,2012-02-04,12.5
344,Sonair,2003-08-29,6.2
345,Ventosanzap,2015-03-01,14.2
346,Biodex,2015-07-16,1.5
347,Konklux,2000-01-17,2.0
348,Latlux,2011-08-31,10.6
349,Bytecard,2005-06-08,22.8
350,Stim,2011-07-14,14.8
351,Zamit,2011-01-18,22.6
352,Kanlam,2001-04-28,2.5
353,Gembucket,2009-02-10,5.3
354,Subin,2007-10-15,22.3
355,Ventosanzap,2009-04-27,3.0
356,Voltsillam,2015-01-06,24.6
357,Alpha,2012-08-09,17.8
358,Aerified,2007-08-27,5.6
359,Prodder,2014-10-22,17.1
360,Treeflex,2006-01-22,2.4
361,Cardify,2015-04-07,14.3
362,Kanlam,2004-10-04,2.4
363,Opela,2015-08-09,9.1
364,Bitchip,2001-04-25,4.3
365,Treeflex,2015-06-15,15.5
366,Tres-Zap,2004-03-07,21.7
367,Gembucket,2003-06-21,3.6
368,Regrant,2006-03-23,8.0
369,Viva,2014-11-28,22.3
370,Bigtax,2012-06-21,17.6
371,Stringtough,2008-02-18,20.0
372,Zaam-Dox,2001-01-06,14.6
373,Voyatouch,2000-04-25,10.4
374,Tempsoft,2003-11-17,14.3
375,Veribet,2012-04-21,4.9
376,Toughjoyfax,2000-07-25,5.2
377,Fix San,2001-03-30,19.7
378,Cookley,2001-12-21,15.1
379,Lotlux,2005-04-20,15.4
380,Zathin,2015-02-05,13.3
381,Lotlux,2005-05-17,20.1
382,Latlux,2005-04-23,21.7
383,Subin,2011-06-14,16.9
384,Namfix,2006-06-19,9.0
385,Trippledex,2000-01-17,7.9
386,Sonsing,2008-12-25,2.5
387,Wrapsafe,2006-11-12,23.2
388,Keylex,2010-10-17,13.0
389,Aerified,2007-03-30,7.0
390,Andalax,2010-02-15,5.5
391,Veribet,2002-06-20,2.7
392,Voyatouch,2008-06-26,18.0
393,Job,2012-01-27,10.2
394,Otcom,2010-09-12,8.5
395,Domainer,2005-01-15,12.2
396,Mat Lam Tam,2010-12-20,15.9
397,Bitchip,2002-02-14,18.7
398,Tempsoft,2015-08-10,15.3
399,Veribet,2000-03-29,18.1
400,Andalax,2000-06-19,5.2
401,Stringtough,2000-10-07,10.9
402,Bigtax,2003-05-03,7.4
403,Tres-Zap,2012-04-06,11.1
404,Wrapsafe,2003-04-03,19.2
405,Y-find,2001-01-09,22.6
406,Span,2013-03-10,7.7
407,Bitchip,2013-01-14,8.4
408,Span,2007-08-23,1.2
409,Quo Lux,2005-09-17,5.9
410,Y-find,2006-07-28,5.8
411,Sub-Ex,2004-04-14,17.5
412,Bamity,2000-12-05,22.3
413,Stronghold,2001-09-05,5.4
414,Mat Lam Tam,2009-09-12,16.0
415,Y-find,2007-11-06,9.4
416,Stronghold,2000-04-02,23.0
417,Asoka,2008-04-11,12.0
418,Opela,2008-01-14,14.8
419,It,2013-03-12,4.3
420,Alphazap,2000-03-04,3.0
421,Cookley,2003-07-11,22.1
422,Vagram,2002-04-05,19.9
423,Alpha,2010-10-21,9.5
424,Duobam,2013-08-16,6.4
425,Zontrax,2009-06-09,20.3
426,Gembucket,2010-05-22,11.0
427,Sonair,2004-06-06,6.7
428,Temp,2015-02-11,1.6
429,Zoolab,2014-04-18,7.8
430,It,2011-07-30,3.5
431,Asoka,2000-12-10,12.2
432,Cardguard,2003-08-26,11.1
433,Latlux,2001-07-09,14.1
434,Toughjoyfax,2002-04-14,4.0
435,Overhold,2008-09-03,4.6
436,Cardguard,2013-07-05,4.0
437,Sub-Ex,2002-11-12,5.3
438,Tampflex,2015-08-08,4.7
439,Fix San,2015-08-29,12.3
440,It,2000-08-08,11.5
441,Tres-Zap,2015-05-16,15.1
442,Bitchip,2012-07-14,17.4
443,Regrant,2007-12-27,17.6
444,Tresom,2012-05-19,2.5
445,Hatity,2007-03-01,12.9
446,Daltfresh,2011-02-06,7.8
447,Opela,2005-12-05,22.0
448,Hatity,2002-01-13,5.4
449,Cardify,2005-04-23,7.0
450,Job,2004-09-04,11.9
451,Cardguard,2009-06-17,23.9
452,Mat Lam Tam,2004-06-29,7.8
453,Quo Lux,2003-01-10,15.2
454,Subin,2009-05-16,10.7
455,Sub-Ex,2001-01-28,9.0
456,Zontrax,2002-05-31,23.3
457,Stim,2006-05-15,13.6
458,Andalax,2006-08-01,21.8
459,Prodder,2003-02-11,14.6
460,Job,2003-08-19,20.7
461,Stringtough,2011-03-17,7.8
462,Stronghold,2009-05-23,2.7
463,Pannier,2006-10-07,10.8
464,Cardguard,2009-05-07,24.6
465,Tin,2001-09-02,24.4
466,Otcom,2002-06-12,19.9
467,Asoka,2006-04-11,18.3
468,Zoolab,2012-07-19,12.9
469,Bamity,2007-06-03,3.5
470,Stringtough,2001-07-10,2.4
471,Overhold,2004-05-03,7.3
472,Transcof,2014-04-11,12.7
473,Zoolab,2011-01-15,21.6
474,Latlux,2004-08-23,9.9
475,Otcom,2014-10-21,20.3
476,Bitchip,2014-12-25,15.5
477,Alpha,2002-04-17,24.5
478,Y-Solowarm,2007-12-22,7.6
479,Treeflex,2010-07-17,10.3
480,Vagram,2006-09-18,6.8
481,Stringtough,2009-05-28,11.2
482,Job,2004-08-01,13.1
483,Voltsillam,2001-06-09,21.4
484,Trippledex,2008-09-26,19.9
485,Tres-Zap,2013-03-06,11.2
486,Aerified,2001-06-13,11.9
487,Aerified,2013-04-06,14.0
488,Zontrax,2010-07-20,15.5
489,Aerified,2011-07-09,8.1
490,Bitwolf,2004-02-01,19.9
491,Pannier,2006-06-07,6.7
492,Trippledex,2002-02-14,6.1
493,Latlux,2011-09-11,12.1
494,Aerified,2014-09-14,9.0
495,Bigtax,2004-02-11,13.8
496,Ventosanzap,2006-06-13,10.4
497,Alphazap,2000-04-20,23.0
498,Overhold,2014-01-11,19.7
499,Hatity,2004-12-01,5.6
500,Veribet,2013-03-24,15.9
